Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
G09,SYBR,CmEREBP,Unkn,K.M.C,,22.6498650000000,22.6498650000000,0,NaN,NaN,NaN,0,55.3,
G10,SYBR,CmCYP,Unkn,K.30.A,,19.3365110000000,19.3365110000000,0,NaN,NaN,NaN,0,55.3,
G11,SYBR,CmCYP,Unkn,K.M.B,,23.045954000000,23.045954000000,0,NaN,NaN,NaN,0,55.3,
G12,SYBR,CmCYP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
H01,SYBR,CmACS,Unkn,K.30.A,,27.2567000000000,27.2567000000000,0,NaN,NaN,NaN,0,55.3,
H02,SYBR,CmACS,Unkn,K.M.B,,26.7155660000000,26.7155660000000,0,NaN,NaN,NaN,0,55.3,
H03,SYBR,CmACO,Unkn,K.15.C,,25.1975920000000,25.1975920000000,0,NaN,NaN,NaN,0,55.3,
H04,SYBR,CmACO,Unkn,K.M.A,,26.0836560000000,26.0836560000000,0,NaN,NaN,NaN,0,55.3,
H05,SYBR,CmATH,Unkn,K.15.B,,27.290447000000,27.290447000000,0,NaN,NaN,NaN,0,55.3,
H06,SYBR,CmATH,Unkn,K.30.C,,26.1561840000000,26.1561840000000,0,NaN,NaN,NaN,0,55.3,
H07,SYBR,CmEREBP,Unkn,K.15.A,,22.8049130000000,22.8049130000000,0,NaN,NaN,NaN,0,55.3,
H08,SYBR,CmEREBP,Unkn,K.30.B,,22.8521900000000,22.8521900000000,0,NaN,NaN,NaN,0,55.3,
H09,SYBR,CmEREBP,Unkn,K.M.C,,22.5745280000000,22.5745280000000,0,NaN,NaN,NaN,0,55.3,
H10,SYBR,CmCYP,Unkn,K.30.A,,19.5605690000000,19.5605690000000,0,NaN,NaN,NaN,0,55.3,
H11,SYBR,CmCYP,Unkn,K.M.B,,23.0881500000000,23.0881500000000,0,NaN,NaN,NaN,0,55.3,
H12,SYBR,CmCYP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3
