cultivar,well,target,sample,cycle_start,cycle_end,slope,r2,efficiency
gmp,H05,CmATH,G.15.B,26,30,0.2900144988084116,0.9988714314557304,1.9499096958998754
gmp,H06,CmATH,G.30.C,21,25,0.27802278073770853,0.9983872271798467,1.8968054147464317
gmp,H07,CmEREBP,G.15.A,21,25,0.2944339301245039,0.9991804332957843,1.9698535076310533
gmp,H08,CmEREBP,G.30.B,18,22,0.2905509618639193,0.9980436594935547,1.9523198136736952
gmp,H09,CmEREBP,G.M.C,17,21,0.27679042630880335,0.9978650232350057,1.8914306672244539
gmp,H10,CmCYP,G.30.A,17,21,0.29143798054856673,0.9978552271743262,1.9563113768141318
gmp,H11,CmCYP,G.M.B,18,22,0.2864594190467661,0.9989742189098616,1.934013133865122
kinaya,A01,CmACS,K.15.A,21,25,0.3064966577928695,0.999459792806204,2.025334020368931
kinaya,A02,CmACS,K.30.B,22,26,0.29297937267390634,0.9990957619855274,1.9632670269500785
kinaya,A03,CmACS,K.M.C,22,26,0.3096314025367668,0.9981510736456681,2.0400058016619105
kinaya,A04,CmACO,K.30.A,16,20,0.33116066840378766,0.9978502929786977,2.143683515884049
kinaya,A05,CmACO,K.M.B,23,27,0.2993694964213402,0.9992139167567042,1.9923677184800592
kinaya,A06,CmATH,K.15.C,23,27,0.3374076881379905,0.9990917154918095,2.1747417306650028
kinaya,A07,CmATH,K.M.A,23,27,0.328681647076908,0.9980848463642013,2.1314818901642254
kinaya,A08,CmEREBP,K.15.B,17,21,0.36863490280043637,0.997112213815596,2.3368718807328084
kinaya,A09,CmEREBP,K.30.C,15,19,0.3323269885992196,0.9988221146134678,2.1494482256040777
kinaya,A10,CmCYP,K.15.A,17,21,0.2675545942295057,0.9965233531292673,1.8516316442254075
kinaya,A11,CmCYP,K.30.B,18,22,0.29355924957134677,0.9990180260516359,1.9658901631369117
kinaya,A12,CmCYP,K.M.C,18,22,0.29894982293528355,0.9990377618510935,1.9904433559248338
kinaya,B01,CmACS,K.15.A,20,24,0.3255279617209995,0.9989497122548305,2.1160599217691356
kinaya,B02,CmACS,K.30.B,23,27,0.2773782085648541,0.9980132832424466,1.893992297873253
kinaya,B03,CmACS,K.M.C,23,27,0.27919368774664227,0.9982711567347351,1.901926316692443
kinaya,B04,CmACO,K.30.A,17,21,0.29922455608877335,0.9984678235744892,1.991702901703239
kinaya,B05,CmACO,K.M.B,23,27,0.30045748342575934,0.9989123566880036,1.9973652207505916
kinaya,B06,CmATH,K.15.C,23,27,0.3206327388592861,0.9997786444525234,2.092342318158278
kinaya,B07,CmATH,K.M.A,22,26,0.33485317711004514,0.9992765826035177,2.1619874923003164
kinaya,B08,CmEREBP,K.15.B,19,23,0.2993331376654152,0.9980787539069121,1.9922009261711888
kinaya,B09,CmEREBP,K.30.C,17,21,0.2825587288239687,0.9972954065918446,1.9167202396752128
kinaya,B10,CmCYP,K.15.A,13,17,0.3759094984170586,0.9985474168986471,2.3763450341960337
kinaya,B11,CmCYP,K.30.B,18,22,0.29727616047863,0.9984456330270504,1.9827874458549295
kinaya,B12,CmCYP,K.M.C,19,23,0.2858996840500271,0.9972035807629046,1.931522110897673
kinaya,C01,CmACS,K.15.B,15,23,0.3134109243188127,0.9988489599752103,2.0578367760099545
kinaya,C02,CmACS,K.30.C,19,23,0.3070922209949792,0.9996919177759772,2.0281133369501703
kinaya,C03,CmACO,K.15.A,20,24,0.29421289062230666,0.9992483509012418,1.9688511816272705
kinaya,C04,CmACO,K.30.B,21,25,0.29292705447749023,0.9987867526424434,1.9630305321116748
kinaya,C05,CmACO,K.M.C,21,25,0.3287611241303589,0.998760067467764,2.131871992753144
kinaya,C06,CmATH,K.30.A,21,25,0.2924084114641378,0.9986944082192589,1.960687641676564
kinaya,C07,CmATH,K.M.B,22,26,0.3210817163600034,0.9986108070621631,2.094506518761313
kinaya,C08,CmEREBP,K.15.C,18,22,0.3161412609868975,0.9984643998161106,2.070814803753084
kinaya,C09,CmEREBP,K.M.A,17,21,0.31119556613142474,0.997827618858037,2.04736637393522
